Academic_Score,Score_on_Plays_Made,Missed_Play_Score,Injury_Propensity,School_Type,School_Score,Overall_Score,Region,Scholarship
7.2,0.21,0.34,High,C,0.5,9.6,Eastern,Partial
6,0.19,0.26,High,C,0.36,8.9,Eastern,Partial
6.6,0.38,0.15,Normal,C,0.38,10.2,Eastern,Partial
7.4,0.2,0.36,Low,C,0.34,9.9,Eastern,Partial
6.8,0.22,0.24,Normal,C,0.46,8.6,Eastern,Partial
6,0.19,0.26,High,C,0.36,8.9,Eastern,Full
7,0.47,0.07,Low,B,0.34,10.5,Southern,Partial
6.6,0.38,0.15,Normal,C,0.38,10.2,Eastern,Partial
7.2,0.24,0.27,Low,C,0.46,10.3,Eastern,Partial
6.2,0.35,0.03,Low,C,0.54,9.1,Southern,Partial
6.4,0.26,0.24,Moderate,B,0.49,12.6,Western,Partial
6.7,0.25,0.13,Low,B,0.42,9.8,Southern,Partial
7.4,0.24,0.29,High,C,0.35,9.5,Southern,Partial
6.2,0.27,0.43,Moderate,C,0.51,9,Eastern,Partial
6.8,0.3,0.23,Normal,C,0.6,9.5,Southern,Partial
6,0.27,0.28,Normal,C,0.71,10,Southern,Full
8.6,0.23,0.46,Low,C,0.49,9.1,Eastern,Partial
7.4,0.24,0.29,High,C,0.35,9.5,Southern,Partial
7.1,0.18,0.36,Low,B,0.37,12.7,Western,Partial
7,0.32,0.34,Low,B,0.65,12,Western,Partial
7.4,0.18,0.3,Moderate,C,0.56,9.3,Southern,Partial
6.7,0.54,0.28,Normal,C,0.37,9,Southern,Partial
6.8,0.22,0.31,Low,C,0.77,10.6,Eastern,Partial
7.1,0.2,0.34,High,D,0.6,9.2,Eastern,Partial
7.1,0.34,0.2,Moderate,C,0.42,10,Southern,Partial
7.3,0.22,0.3,Moderate,C,0.46,9.5,Eastern,Full
7.1,0.43,0.61,High,C,0.45,8.7,Southern,Partial
7.1,0.44,0.62,High,D,0.46,8.7,Eastern,Partial
7.2,0.39,0.63,High,C,0.44,8.7,Eastern,Full
6.8,0.25,0.31,High,C,0.48,9.7,Eastern,Partial
7.1,0.43,0.61,High,C,0.45,8.7,Southern,Partial
7.1,0.44,0.62,High,D,0.46,8.7,Eastern,Partial
7.2,0.39,0.63,High,C,0.44,8.7,Eastern,Partial
6.1,0.27,0.43,Moderate,C,0.47,9,Southern,Partial
6.9,0.24,0.33,Low,B,0.4,12.6,Western,Partial
6.9,0.21,0.33,Low,B,0.41,12.6,Western,Partial
7.5,0.17,0.32,Low,B,0.44,11.5,Western,Partial
7.1,0.26,0.29,High,C,0.42,9.2,Eastern,Partial
6,0.34,0.66,High,D,0.5,8.8,Eastern,Partial
8.6,0.265,0.36,Low,B,0.36,11.4,Western,Partial
9.8,0.36,0.46,High,C,0.3,10.1,Western,Partial
6,0.34,0.66,High,D,0.5,8.8,Eastern,Partial
7.4,0.25,0.37,High,D,0.44,9.1,Southern,Partial
7.1,0.12,0.32,Moderate,C,0.41,9.4,Southern,Full
6,0.21,0.24,High,C,0.39,9.4,Southern,Partial
7.5,0.305,0.4,High,A,0.46,9,Southern,Partial
7.4,0.25,0.37,High,D,0.44,9.1,Southern,Partial
7.3,0.13,0.32,High,C,0.35,9.2,Eastern,Partial
7.1,0.12,0.32,Moderate,C,0.41,9.4,Southern,Partial
7.1,0.23,0.35,High,D,0.59,9.1,Eastern,Partial
7.1,0.23,0.35,High,D,0.59,9.1,Eastern,Partial
6.9,0.33,0.28,Low,C,0.6,10.3,Southern,Partial
6.5,0.17,0.54,Moderate,C,0.39,8.8,Eastern,Partial
7.2,0.27,0.46,High,A,0.52,8.9,Southern,Partial
7.2,0.31,0.5,High,D,0.47,9.2,Southern,Partial
6.7,0.41,0.34,Moderate,C,0.51,9.1,Southern,Partial
6.7,0.41,0.34,Moderate,C,0.51,9.1,Southern,Partial
5.5,0.485,0,Low,C,0.4,9.7,Western,Partial
6,0.31,0.24,Normal,B,0.44,11.3,Eastern,Partial
7,0.14,0.4,Low,B,0.42,11.8,Eastern,Full
7.2,0.31,0.5,High,D,0.47,9.2,Southern,Partial
7.3,0.32,0.48,High,D,0.5,9.2,Southern,Full
5.9,0.36,0.04,Normal,C,0.51,10.2,Southern,Partial
7.8,0.24,0.32,High,D,0.54,8.8,Southern,Partial
7.4,0.16,0.31,Moderate,C,0.34,9.7,Southern,Partial
6.9,0.19,0.28,Normal,C,0.36,9.1,Eastern,Partial
6.4,0.13,0.47,Low,C,0.36,9.8,Eastern,Full
6.7,0.19,0.36,Low,B,0.48,11,Eastern,Partial
7.4,0.39,0.23,Moderate,C,0.42,10.5,Southern,Partial
6.5,0.24,0.32,Moderate,C,0.54,9.7,Western,Partial
6.1,0.3,0.56,Normal,B,0.57,10.9,Western,Partial
6.1,0.3,0.56,Normal,B,0.57,10.9,Eastern,Partial
5.7,0.26,0.25,High,C,0.37,10.6,Southern,Partial
6.5,0.24,0.32,Moderate,C,0.54,9.7,Western,Partial
6.5,0.425,0.4,High,D,0.57,9,Southern,Partial
6.6,0.24,0.27,High,D,0.51,9.2,Southern,Partial
6.8,0.27,0.22,Moderate,C,0.52,8.9,Southern,Partial
6.7,0.27,0.31,High,D,0.56,9.6,Southern,Partial
8.2,0.23,0.4,Low,B,0.38,10.7,Eastern,Partial
7.1,0.37,0.67,High,D,0.44,8.7,Southern,Partial
6.8,0.19,0.36,Low,B,0.54,10.8,Western,Partial
8.1,0.28,0.39,Low,B,0.52,11.8,Eastern,Partial
6.3,0.31,0.34,Low,C,0.43,10.2,Southern,Partial
7.1,0.37,0.67,High,D,0.44,8.7,Southern,Partial
7.9,0.21,0.4,Low,B,0.54,10.8,Eastern,Partial
8.5,0.21,0.41,Normal,C,0.53,9.7,Eastern,Partial
8.1,0.2,0.4,Low,B,0.54,11.2,Eastern,Partial
6.3,0.255,0.37,Low,B,0.39,10.9,Eastern,Full
5.6,0.16,0.27,Low,B,0.37,10.1,Eastern,Partial
6.4,0.595,0.14,Normal,C,0.36,9,Western,Partial
6.3,0.34,0.33,Normal,B,0.58,12,Western,Partial
6.9,0.25,0.3,Normal,C,0.38,9.4,Eastern,Partial
7.9,0.22,0.38,Moderate,C,0.32,11.5,Western,Partial
7.6,0.18,0.46,High,C,0.43,9.9,Eastern,Partial
6.9,0.25,0.3,Normal,C,0.38,9.4,Eastern,Partial
7.2,0.18,0.41,Low,B,0.45,10.4,Southern,Partial
8.2,0.23,0.4,Moderate,C,0.84,9.7,Eastern,Partial
7.4,0.24,0.42,High,D,0.42,8.9,Eastern,Partial
7.4,0.24,0.42,High,D,0.42,8.9,Eastern,Full
6.1,0.32,0.24,Low,B,0.42,12.4,Western,Partial
6.1,0.32,0.24,Low,B,0.42,12.4,Western,Partial
6.4,0.22,0.56,High,D,0.4,9.1,Southern,Partial
6.3,0.36,0.3,Normal,C,0.39,10.6,Southern,Full
7.4,0.24,0.42,High,D,0.42,8.9,Eastern,Partial
6.7,0.24,0.35,High,C,0.5,9.5,Southern,Partial
7,0.23,0.36,High,C,0.49,9.8,Southern,Full
8.4,0.27,0.46,Moderate,C,0.59,9.6,Eastern,Partial
6.7,0.46,0.18,Low,B,0.44,12.6,Western,Partial
7.5,0.29,0.31,Moderate,C,0.54,9.3,Southern,Partial
9.8,0.42,0.48,Moderate,C,0.29,10,Southern,Partial
7.1,0.3,0.46,Low,B,0.54,12.7,Eastern,Partial
7.9,0.19,0.45,Low,B,0.39,11,Eastern,Full
7.6,0.48,0.37,Low,B,0.39,11.4,Western,Full
6.3,0.22,0.43,Normal,B,0.33,11.5,Western,Partial
7.5,0.27,0.31,High,D,0.64,10.2,Southern,Full
6.9,0.23,0.4,Moderate,C,0.27,11.4,Eastern,Partial
7.2,0.32,0.47,Normal,B,0.41,12.6,Western,Partial
5.9,0.23,0.3,High,C,0.39,9.4,Southern,Partial
6,0.67,0.07,Low,C,0.35,8.7,Western,Partial
6.4,0.25,0.32,Normal,C,0.68,9.2,Eastern,Partial
6.4,0.33,0.31,Normal,C,0.66,9.3,Eastern,Partial
7.1,0.34,0.15,Low,C,0.43,9.2,Southern,Partial
6.8,0.28,0.4,High,A,0.5,8.7,Southern,Partial
6.9,0.27,0.4,High,D,0.58,9.6,Eastern,Partial
6.8,0.26,0.56,High,C,0.63,9.3,Southern,Partial
6.8,0.29,0.56,High,C,0.63,9.3,Southern,Partial
6.7,0.24,0.41,Moderate,C,0.61,9.9,Eastern,Partial
5.9,0.3,0.23,Normal,B,0.5,11,Southern,Partial
6.5,0.28,0.28,Moderate,C,0.54,8.9,Western,Partial
6.6,0.28,0.28,Moderate,C,0.55,8.9,Eastern,Partial
6.8,0.28,0.4,High,A,0.5,8.7,Southern,Partial
6.8,0.28,0.36,Moderate,C,0.37,11.4,Eastern,Partial
6.6,0.15,0.34,Normal,C,0.42,9.6,Southern,Partial
6.4,0.29,0.44,Normal,C,0.41,9.1,Southern,Partial
6.4,0.3,0.45,Normal,C,0.39,9.1,Eastern,Partial
6.4,0.29,0.44,Normal,C,0.38,9.1,Southern,Full
6.8,0.26,0.24,Moderate,C,0.47,8.9,Southern,Full
7.1,0.32,0.24,High,D,0.49,8.8,Southern,Full
6.8,0.26,0.24,Moderate,C,0.47,8.9,Southern,Partial
6.8,0.27,0.26,High,D,0.5,9.3,Southern,Partial
7.1,0.32,0.24,High,D,0.49,8.8,Southern,Partial
6.9,0.54,0.32,High,C,0.5,9.6,Southern,Partial
6.8,0.26,0.34,High,C,0.53,12,Eastern,Partial
5.8,0.28,0.35,Low,B,0.5,10.2,Western,Partial
6.4,0.21,0.5,High,C,0.43,8.8,Southern,Partial
7,0.16,0.32,Moderate,C,0.34,9.2,Southern,Partial
10.2,0.44,0.88,Moderate,C,0.51,9.9,Western,Full
6.8,0.57,0.29,Low,C,0.74,10.2,Southern,Partial
6.1,0.4,0.31,Low,C,0.77,9.5,Eastern,Partial
5.6,0.245,0.25,Moderate,C,0.34,10.5,Southern,Partial
6.8,0.18,0.38,Low,B,0.59,11.2,Western,Partial
7,0.16,0.32,Moderate,C,0.34,9.2,Southern,Full
6.7,0.13,0.29,Normal,C,0.37,9.7,Eastern,Partial
6.2,0.25,0.25,Low,B,0.44,11.1,Western,Partial
5.8,0.26,0.24,Moderate,C,0.38,9.4,Southern,Partial
7.5,0.27,0.36,Moderate,C,0.33,11,Southern,Full
5.8,0.26,0.24,Moderate,C,0.38,9.4,Southern,Partial
5.7,0.28,0.24,High,D,0.44,9.4,Southern,Partial
7.5,0.23,0.36,Moderate,C,0.32,11,Southern,Partial
7.5,0.27,0.36,Moderate,C,0.33,11,Southern,Partial
7.2,0.685,0.21,Moderate,C,0.55,9.1,Eastern,Partial
6.2,0.25,0.25,Low,B,0.44,11.1,Western,Partial
6.5,0.19,0.3,Low,C,0.39,9.1,Eastern,Partial
6.3,0.495,0.22,Low,C,0.54,10.4,Eastern,Partial
7.1,0.24,0.41,High,D,0.39,8.7,Southern,Partial
6.4,0.17,0.32,Low,C,0.5,9.7,Eastern,Partial
7.1,0.25,0.32,High,C,0.52,9.1,Eastern,Partial
6.4,0.17,0.32,Low,C,0.5,9.7,Eastern,Partial
7.1,0.24,0.41,High,D,0.39,8.7,Southern,Partial
6.8,0.64,0.08,Moderate,C,0.46,8.9,Western,Partial
8.3,0.28,0.4,Moderate,D,0.51,9.6,Eastern,Partial
8.2,0.27,0.39,Moderate,D,0.51,9.5,Eastern,Partial
7.2,0.23,0.38,High,D,0.44,9,Eastern,Partial
7.2,0.23,0.38,High,D,0.44,9,Eastern,Partial
7.2,0.23,0.38,High,D,0.44,9,Eastern,Partial
7.2,0.23,0.38,High,D,0.44,9,Eastern,Partial
6.8,0.52,0.32,High,C,0.5,9.6,Eastern,Partial
7,0.26,0.59,Low,B,0.41,11.1,Western,Partial
6.2,0.25,0.21,High,D,0.64,9.6,Eastern,Partial
7.3,0.32,0.23,High,D,0.46,8.7,Southern,Partial
7.7,0.31,0.26,Moderate,C,0.5,10.4,Southern,Partial
7.1,0.21,0.37,Low,B,0.38,11.4,Western,Partial
6.8,0.24,0.34,Normal,C,0.58,9.7,Eastern,Full
6.9,0.4,0.56,High,D,0.46,8.7,Southern,Partial
6.1,0.18,0.36,Low,B,0.79,11.3,Eastern,Partial
6.8,0.21,0.27,Low,B,0.61,12.6,Western,Full
5.8,0.2,0.27,Low,B,0.36,10.9,Western,Partial
5.6,0.19,0.26,Low,B,0.37,10.9,Western,Partial
6.1,0.41,0.14,High,C,0.45,10,Southern,Partial
5.9,0.21,0.28,Normal,C,0.7,10,Western,Partial
6.9,0.4,0.56,High,D,0.46,8.7,Southern,Full
5.8,0.24,0.39,Low,C,0.52,9.3,Eastern,Partial
6.3,0.35,0.3,Normal,C,0.41,11,Western,Partial
6.3,0.35,0.3,Normal,C,0.41,11,Western,Partial
6.4,0.23,0.39,Low,B,0.5,11.8,Eastern,Full
5.8,0.36,0.38,Low,B,0.34,11.4,Western,Partial
6.9,0.115,0.35,Normal,C,0.42,10.2,Eastern,Full
6.9,0.29,0.4,High,D,0.47,8.9,Southern,Partial
6.9,0.28,0.4,Moderate,C,0.33,10.2,Southern,Partial
7.2,0.29,0.4,High,D,0.59,9.6,Eastern,Partial
6.2,0.24,0.35,Low,B,0.48,10.6,Eastern,Partial
6.9,0.29,0.4,High,D,0.47,8.9,Southern,Full
6.9,0.32,0.26,Moderate,C,0.51,9.2,Eastern,Partial
5.3,0.58,0.07,Moderate,C,0.57,9.7,Southern,Partial
5.3,0.585,0.07,Moderate,C,0.57,9.7,Eastern,Partial
5.4,0.59,0.07,Moderate,C,0.57,9.7,Eastern,Partial
6.9,0.32,0.26,Moderate,C,0.51,9.2,Eastern,Partial
5.2,0.6,0.07,Moderate,C,0.58,9.7,Southern,Partial
5.8,0.25,0.26,High,C,0.38,9.3,Southern,Partial
6.6,0.58,0.3,Normal,C,0.38,9,Southern,Partial
7,0.29,0.54,High,C,0.61,9.5,Southern,Partial
6.6,0.19,0.41,Moderate,C,0.57,9.8,Eastern,Partial
6.7,0.2,0.41,Moderate,C,0.58,9.8,Eastern,Partial
7.7,0.26,0.4,Low,B,0.5,10.6,Southern,Partial
6.8,0.32,0.34,Low,B,0.47,10.6,Western,Full
7,0.3,0.49,Normal,B,0.68,12.4,Western,Partial
6.8,0.44,0.37,Normal,C,0.65,10.5,Western,Partial
6.7,0.34,0.3,High,D,0.49,9.3,Southern,Partial
7.1,0.35,0.24,High,D,0.49,8.8,Southern,Partial
7.3,0.32,0.25,Moderate,C,0.47,8.8,Southern,Partial
6.5,0.28,0.33,High,D,0.51,9.7,Eastern,Partial
7.2,0.23,0.39,High,D,0.48,9,Western,Partial
7.2,0.23,0.39,High,D,0.48,9,Western,Partial
7.2,0.23,0.39,High,D,0.48,9,Western,Partial
7.2,0.23,0.39,High,D,0.48,9,Western,Partial
5.9,0.15,0.31,Normal,C,0.46,10.5,Eastern,Partial
7.4,0.28,0.42,High,A,0.44,9.1,Southern,Partial
6.2,0.28,0.22,Moderate,C,0.64,9.8,Western,Full
6.3,0.33,0.27,Low,C,0.54,9.4,Eastern,Full
8.3,0.39,0.7,High,D,0.57,9.4,Southern,Full
7.2,0.19,0.46,Normal,C,0.6,11.2,Western,Full
7.5,0.17,0.44,High,C,0.45,10,Eastern,Partial
6.7,0.17,0.5,Low,B,0.45,10.3,Eastern,Partial
6.1,0.41,0,Low,B,0.67,10.8,Eastern,Partial
8.3,0.2,0.35,Low,B,0.38,10.5,Eastern,Full
6.1,0.41,0,Low,B,0.67,10.8,Eastern,Partial
6,0.29,0.21,Low,B,0.43,11.1,Eastern,Partial
7.3,0.41,0.24,Moderate,C,0.41,9.9,Eastern,Partial
7.3,0.41,0.24,Moderate,C,0.41,9.9,Eastern,Partial
7.2,0.43,0.24,Moderate,C,0.41,9.9,Southern,Partial
7.3,0.4,0.24,Moderate,C,0.41,9.9,Eastern,Partial
6.2,0.33,0.27,Normal,C,0.42,10.4,Western,Partial
6.2,0.31,0.26,Normal,C,0.41,10.4,Eastern,Partial
6.1,0.36,0.27,Low,B,0.71,11.5,Western,Full
7.8,0.25,0.41,Normal,C,0.45,10,Eastern,Partial
5.7,0.36,0.21,Moderate,C,0.63,10,Eastern,Partial
5.8,0.34,0.21,Moderate,C,0.62,10,Southern,Partial
6.8,0.28,0.6,Low,C,0.44,9.1,Eastern,Partial
6.8,0.25,0.34,Normal,C,0.38,10.6,Eastern,Partial
6.6,0.24,0.35,Moderate,C,0.37,10.5,Southern,Partial
5.9,0.3,0.47,Moderate,C,0.43,11.5,Western,Partial
6.1,0.125,0.25,Normal,C,0.59,10.1,Eastern,Partial
6,0.1,0.24,Low,C,0.61,10.3,Western,Full
6.6,0.24,0.35,Moderate,C,0.37,10.5,Southern,Partial
6.8,0.25,0.34,Normal,C,0.38,10.6,Eastern,Partial
6.8,0.28,0.44,Moderate,C,0.36,10.4,Eastern,Partial
8.3,0.41,0.51,Low,C,0.55,11.4,Southern,Partial
7.5,0.27,0.31,Normal,C,0.59,10.5,Southern,Partial
7.9,0.26,0.41,High,D,0.6,10,Eastern,Partial
6.4,0.34,0.23,Moderate,C,0.65,10,Eastern,Partial
6.5,0.28,0.35,High,D,0.5,9.6,Eastern,Partial
7.2,0.21,0.41,Low,B,0.51,10.4,Southern,Partial
6.8,0.24,0.34,Normal,C,0.39,10.6,Southern,Partial
6.3,0.23,0.3,Low,B,0.4,11.8,Eastern,Partial
6.5,0.28,0.34,Moderate,C,0.44,9.8,Southern,Partial
5.6,0.26,0.26,Normal,B,0.38,10.8,Southern,Partial
6.3,0.23,0.3,Low,B,0.4,11.8,Eastern,Partial
6.3,0.23,0.33,Low,B,0.42,11.2,Eastern,Partial
5.8,0.27,0.27,High,C,0.42,9.3,Eastern,Partial
5.9,0.26,0.4,Low,C,0.53,10.4,Southern,Partial
6.6,0.18,0.35,Low,C,0.85,10.2,Western,Partial
7.4,0.2,0.43,Moderate,C,0.55,9,Western,Partial
8,0.24,0.36,Low,C,0.54,10,Eastern,Full
6.4,0.26,0.42,Moderate,C,0.47,9.1,Eastern,Partial
5.4,0.31,0.47,Normal,C,0.76,10,Southern,Partial
5.4,0.29,0.47,Normal,C,0.75,10,Eastern,Partial
7.1,0.145,0.33,Normal,C,0.4,9.6,Eastern,Partial
5.6,0.34,0.1,Low,B,0.51,11.2,Western,Partial
6.7,0.19,0.41,High,D,0.44,8.8,Eastern,Partial
7.8,0.18,0.46,High,D,0.5,10,Eastern,Partial
7.6,0.17,0.45,High,C,0.47,10,Southern,Partial
6.3,0.12,0.36,Low,B,0.74,11.4,Western,Full
7.3,0.33,0.4,Moderate,B,0.3,11.9,Western,Partial
5.5,0.335,0.3,Normal,B,0.51,9.6,Eastern,Partial
7.3,0.33,0.4,Moderate,B,0.3,11.9,Western,Partial
5.8,0.4,0.42,Normal,C,0.57,9.6,Eastern,Full
7.3,0.22,0.37,High,D,0.38,9,Eastern,Partial
7.3,0.22,0.37,High,D,0.38,9,Eastern,Partial
6.1,0.36,0.33,Low,C,0.78,9.5,Eastern,Partial
10,0.2,0.39,Low,C,0.42,10.4,Eastern,Full
6.9,0.24,0.34,Normal,C,0.59,10.6,Eastern,Partial
6.4,0.24,0.32,High,C,0.5,10.2,Eastern,Partial
7.1,0.365,0.14,Low,C,0.43,8.9,Southern,Partial
6.8,0.15,0.3,Normal,C,0.39,9.7,Eastern,Partial
7.3,0.22,0.37,High,D,0.38,9,Eastern,Partial
6.8,0.16,0.4,Low,B,0.42,11.4,Western,Partial
6,0.26,0.32,Normal,B,0.71,12.3,Western,Partial
6,0.18,0.27,Low,B,0.62,10.8,Eastern,Partial
6.9,0.33,0.21,Low,C,0.45,9.4,Eastern,Partial
7.7,0.29,0.48,Low,C,0.64,10.6,Eastern,Partial
7.1,0.39,0.35,High,C,0.29,11.6,Southern,Partial
6.9,0.33,0.21,Low,C,0.45,9.4,Eastern,Partial
7.7,0.29,0.48,Low,C,0.64,10.6,Eastern,Partial
6.6,0.905,0.19,Low,C,0.56,10,Southern,Partial
7.2,0.27,0.27,Low,C,0.51,9.2,Eastern,Partial
5.1,0.33,0.22,Low,B,0.38,12.5,Western,Partial
5.1,0.33,0.22,Low,B,0.38,12.5,Western,Partial
6.4,0.31,0.28,Low,B,0.51,10.4,Western,Partial
7.3,0.2,0.44,Low,B,0.46,10,Western,Partial
5.7,0.32,0.5,Normal,C,0.64,10,Eastern,Full
6.4,0.31,0.28,Low,B,0.51,10.4,Western,Full
7.3,0.2,0.44,Low,B,0.46,10,Western,Partial
7.2,0.28,0.26,High,D,0.52,9,Eastern,Partial
7.5,0.35,0.28,Moderate,C,0.53,9.2,Eastern,Full
7.2,0.27,0.27,Low,C,0.51,9.2,Eastern,Partial
6,0.36,0.39,Normal,B,0.39,11.3,Western,Partial
5.1,0.33,0.22,Low,B,0.38,12.5,Western,Full
5,0.17,0.56,Low,B,0.39,10.8,Western,Full
6.3,0.39,0.35,Normal,C,0.66,10.1,Southern,Partial
6.7,0.21,0.32,Normal,C,0.46,9.7,Eastern,Partial
7,0.3,0.38,High,D,0.61,9.3,Western,Partial
7,0.3,0.38,High,D,0.61,9.3,Western,Full
6.5,0.36,0.32,Low,B,0.46,10.6,Southern,Partial
6.1,0.55,0.15,Moderate,C,0.47,10.2,Eastern,Partial
7.3,0.24,0.43,Low,B,0.56,12.2,Eastern,Partial
6.8,0.37,0.51,High,D,0.44,8.8,Southern,Partial
6.8,0.27,0.12,Low,B,0.41,10,Southern,Partial
8.2,0.28,0.42,Low,B,0.39,11.4,Southern,Partial
6.3,0.2,0.4,Low,B,0.5,11.4,Eastern,Partial
5.9,0.26,0.27,High,D,0.44,9.4,Southern,Partial
6.4,0.19,0.42,Normal,B,0.41,11.7,Eastern,Partial
6.3,0.2,0.4,Low,B,0.5,11.4,Eastern,Partial
6.8,0.37,0.51,High,D,0.44,8.8,Southern,Full
6.1,0.35,0.07,Low,C,0.52,9.2,Southern,Partial
7.1,0.27,0.31,High,A,0.56,8.7,Southern,Partial
6.8,0.22,0.31,Moderate,B,0.66,12.6,Eastern,Full
6.8,0.27,0.12,Low,B,0.41,10,Southern,Partial
5.8,0.28,0.34,Normal,B,0.39,12.8,Western,Partial
6.9,0.49,0.24,Low,C,0.51,9.4,Southern,Partial
6.3,0.14,0.39,Low,B,0.53,10.3,Eastern,Partial
8.2,0.28,0.42,Low,B,0.39,11.4,Southern,Partial
7.2,0.25,0.39,High,D,0.47,9,Eastern,Partial
7.3,0.28,0.36,High,D,0.79,9.6,Eastern,Partial
7.2,0.19,0.39,Low,B,0.5,10.5,Southern,Partial
7.2,0.19,0.39,Low,B,0.5,10.5,Southern,Partial
7.2,0.25,0.39,High,D,0.47,9,Eastern,Partial
7.3,0.28,0.36,High,D,0.79,9.6,Eastern,Partial
7.4,0.21,0.27,Low,C,0.33,9.8,Eastern,Partial
6.8,0.26,0.22,Moderate,C,0.47,9,Southern,Full
7.4,0.21,0.27,Low,C,0.33,9.8,Eastern,Partial
7.4,0.31,0.28,Low,C,0.56,10.5,Eastern,Partial
7,0.22,0.31,Normal,B,0.37,12.7,Western,Partial
7,0.21,0.28,Moderate,C,0.54,10.4,Eastern,Partial
7,0.21,0.28,Moderate,C,0.54,10.4,Eastern,Partial
7,0.21,0.28,Moderate,C,0.54,10.4,Eastern,Full
6.9,0.23,0.38,Moderate,C,0.52,10.5,Western,Partial
7,0.21,0.28,Moderate,C,0.54,10.4,Eastern,Partial
7,0.21,0.28,Moderate,C,0.54,10.4,Eastern,Partial
6.8,0.29,0.5,High,C,0.45,9.4,Southern,Partial
7.8,0.21,0.27,Low,C,0.46,9.1,Southern,Partial
7.1,0.31,0.47,High,D,0.49,9.3,Southern,Partial
6.8,0.29,0.5,High,C,0.45,9.4,Southern,Partial
6.4,0.34,0.1,Low,C,0.38,9.8,Southern,Partial
7.4,0.155,0.34,Low,C,0.61,9.9,Western,Partial
7.2,0.55,0.09,Low,C,0.57,9.2,Western,Partial
6.9,0.2,0.37,Moderate,B,0.49,12.2,Western,Partial
6.1,0.28,0.32,Normal,C,0.6,9.8,Southern,Partial
7.4,0.155,0.34,Low,C,0.61,9.9,Western,Partial
